"id","clave","nombre","numeroLatitud","numeroLongitud","numeroAltitud","claveCarta","entidades_id","municipios_id","created_at","updated_at","deleted_at"
"11163","0670","Nuevo Progreso","170055","911157","292","E15D46","7","59",,,
"11164","0671","Bethel","164623.431","910634.001","320","E15D56","7","59",,,
"11165","0672","Nuevo Ojo de Agua","170724.996","912509.984","120","E15D45","7","59",,,
"11166","0673","Viejo Velasco Suárez","165815.996","911426.016","440","E15D56","7","59",,,
"11167","0674","Nuevo Tila","165842.996","911252.992","321","E15D56","7","59",,,
"11168","0675","Nuevo Pedregal","165747.016","910954","120","E15D56","7","59",,,
"11169","0677","Naite","164855.008","910316.992","192","E15D56","7","59",,,
"11170","0694","La Independencia","170753.004","914305.016","735","E15D44","7","59",,,
"11171","0695","Santa Cecilia (2da. Ampliación de Peña Limonar)","170749.008","914259.004","751","E15D44","7","59",,,
"11172","0696","Ampliación Jol Tulija","170839.012","914408.016","681","E15D44","7","59",,,
"11173","0697","Patria Nueva (La Laguna)","170745.984","914509","819","E15D44","7","59",,,
"11174","0698","San Antonio Catarraya","170209.996","914447.004","899","E15D44","7","59",,,
"11175","0699","Saquilja","170151.996","914557.996","895","E15D44","7","59",,,
"11176","0700","Ojo de Agua (Buenos Aires)","170114.988","914136.996","1294","E15D44","7","59",,,
"11177","0701","El Naranjo","170123.988","914130.984","1396","E15D44","7","59",,,
"11178","0702","Ilusión Santo Domingo","170055.008","914129.004","1108","E15D44","7","59",,,
"11179","0703","Ilusión San José","170052.992","914124","1065","E15D44","7","59",,,
"11180","0704","Santa Cruz Uno","170050.599","914056.876","1129","E15D44","7","59",,,
"11181","0705","Santa Cruz Dos","170034.992","914039","1149","E15D44","7","59",,,
"11182","0706","San Antonio Caribal (San Juan Tzeltal)","170024.984","914211.988","681","E15D44","7","59",,,
"11183","0707","Palmares","170114.016","914202.988","1073","E15D44","7","59",,,
"11184","0709","Tzajalá","165942","914005.016","737","E15D54","7","59",,,
"11185","0711","Agua Escondida","170110.992","914054.012","1279","E15D44","7","59",,,
"11186","0713","Santa Rosa","164948","914202.016","540","E15D54","7","59",,,
"11187","0718","San Francisco Uno","170817.016","913347.988","340","E15D45","7","59",,,
"11188","0720","Galilea Uno","164619.992","913803.984","520","E15D55","7","59",,,
"11189","0724","Guadalupe","170441.016","913610.008","577","E15D45","7","59",,,
"11190","0725","Los Claveles","170448","913618","575","E15D45","7","59",,,
"11191","0726","La Frontera","170503.012","913633.984","579","E15D45","7","59",,,
"11192","0728","Nueva Esperanza (La Esperanza)","170641.004","914036.984","620","E15D44","7","59",,,
"11193","0729","Laguna Colorada","170727.012","914040.008","741","E15D44","7","59",,,
"11194","0730","Puerto Bello Metzabok","170643.992","913727.984","560","E15D45","7","59",,,
"11195","0731","Doctor Manuel Velasco Suárez","164730.855","913341.565","1120","E15D55","7","59",,,
"11196","0732","San Jerónimo","164601.992","913159.988","1340","E15D55","7","59",,,
"11197","0733","Nuevo Paraíso (Laguna Ocotal)","165044.016","912948.012","1090","E15D55","7","59",,,
"11198","0735","Pueblo Nuevo Coatzacoalcos","165300","913028","987","E15D55","7","59",,,
"11199","0736","Monte Azul","165438.016","913320.988","1045","E15D55","7","59",,,
"11200","0737","Nicolás Vázquez","165118","913238.004","688","E15D55","7","59",,,
"11201","0738","Ernesto Velasco Velázquez","165109","913320.988","660","E15D55","7","59",,,
"11202","0740","San Pedro","165218.012","913539.012","782","E15D55","7","59",,,
